"hfpxzc href","qBF1Pd","MW4etd","UY7F9","AJB7ye","AJB7ye 2","W4Efsd","W4Efsd 2","W4Efsd 3","W4Efsd 4","W4Efsd 5","FQ2IWe src","Jn12ke src","ah5Ghc","A1zNzb href","J8zHNe","bbPy1","W4Efsd 6","ah5Ghc 2","ah5Ghc 3","doJOZc"
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"https://www.google.com/maps/place/Almaz+Fried+Chicken+Palembang/data=!4m7!3m6!1s0x2e3b77002a58ab07:0x827ffde5452e7fc4!8m2!3d-2.9468373!4d104.7677577!16s%2Fg%2F11x0nrvdhn!19sChIJB6tYKgB3Oy4RxH8uReX9f4I?authuser=0&hl=id&rclk=1","Almaz Fried Chicken Palembang","4,9","(2.618)","·","Rp 25–50 rb","Makanan Siap Saji","·","Jl. MP Mangkunegara No.4c","Buka","· Tutup pukul 22.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAH9opKP85OuWaD4d7847pxhlzCMCO4CHP93sYYMf2rE7tdM3RHKM0iHHbNQFgP451PEee-CekMQdbHBH6K0HL-xz_a4I8Bfm8QUPN55OZsDF4NptpPXFXs8YYxgWrjyVd_7deqtkLcrXajG=w163-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Tempatnya enak nyaman, makanannya enak dan harga terjangkau""","","","","","","",""
"https://www.google.com/maps/place/Richeese+Factory+Sumpah+Pemuda+Palembang/data=!4m7!3m6!1s0x2e3b750d3844cb73:0x29f50f6dde8951d3!8m2!3d-2.9739336!4d104.7385952!16s%2Fg%2F11h4bypl19!19sChIJc8tEOA11Oy4R01GJ3m0P9Sk?authuser=0&hl=id&rclk=1","Richeese Factory Sumpah Pemuda Palembang","4,5","(2.478)","·","$$","Makanan Siap Saji","·","Jl. Sumpah Pemuda No.02","Buka 24 jam","","https://lh3.googleusercontent.com/gps-cs-s/APNQkAER9Ue1-G1ry3p_sVs-0Ucbyzw4wWiDVwWJ92caxnqz69gxtbDWTpML4w6kZBMXKhj_3cOfOH9EHvNN2r3ZqWGi_h0C9k7oy2OKAkdLP6U7Gm4T8dgt94P-BS4Y0rRCGuUePWqV=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Enak dan nyaman, ayamnya juicy dan keju enak ya tebel""","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFoNGJ5cGwxORgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=2pz4aeT0MuiaseMPycTI-AI&ei=2pz4aeT0MuiaseMPycTI-AI&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","","","",""
"https://www.google.com/maps/place/Se%27Indonesia+-+Sumpah+Pemuda+Palembang+%28Delivery+%26+Takeaway%29/data=!4m7!3m6!1s0x2e3b750034386fd9:0xd6affcc4b4bc04d!8m2!3d-2.9702971!4d104.7358156!16s%2Fg%2F11xsch23pj!19sChIJ2W84NAB1Oy4RTcBLS8z_ag0?authuser=0&hl=id&rclk=1","Se'Indonesia - Sumpah Pemuda Palembang (Delivery & Takeaway)","4,5","(186)","·","Rp 25–50 rb","Makanan Siap Saji","·","Jl. Angkatan 45","Buka 24 jam","","https://lh3.googleusercontent.com/gps-cs-s/APNQkAE2HF-ZONeLVfAbVjGNe-vvZUssvgq8dn1PvjLZ2RSUrKDGSUi-czlclT22phKJbNWrOyxA7mCoZUaoF9By5XxNEBYxfv-_EYkT4uHl3HO0pnl9eGQyeme1NGYjWOypysZpB5RaO3T4Z4Ac=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""niceee bangettt, service nya cepettt, makan nya enak bgttt, good job🤍🤍🤍""","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTF4c2NoMjNwahgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=2pz4aeT0MuiaseMPycTI-AI&ei=2pz4aeT0MuiaseMPycTI-AI&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","","","",""
"https://www.google.com/maps/place/KFC+Bassilica+Palembang/data=!4m7!3m6!1s0x2e3b770e47c58bf9:0xeb19bfdd9f541ea5!8m2!3d-2.9482976!4d104.7852422!16s%2Fg%2F11dft0gb8g!19sChIJ-YvFRw53Oy4RpR5Un92_Ges?authuser=0&hl=id&rclk=1","KFC Bassilica Palembang","4,5","(1.862)","·","$$","Makanan Siap Saji","·","Jalan Brigjend Hasan Kasm Komplek 044, RW.009","Buka","· Tutup pukul 22.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFufSeHNVbvFS0zpDLxbUI8l3JC6qxyHQ-VRJC4q15wF3nZfEatHbqZxMyfhTPaSKqrSKdSBe8A2NnN_rR-ubTc9WLAHBQG7kK1aFobyESUABnFwVjO2zbvLNCKh61bRujj8J2O=w163-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Kadang kecil kadang gede😅

French fries 👉🏻 90 from 100. Yg hari ini enak.""","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFkZnQwZ2I4ZxgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=2pz4aeT0MuiaseMPycTI-AI&ei=2pz4aeT0MuiaseMPycTI-AI&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","Franchise restoran ayam goreng","","",""
"https://www.google.com/maps/place/RM+Pagi+Sore+Basuki+Rahmat/data=!4m7!3m6!1s0x2e3b742cca3761f7:0xff007eba9a7056dd!8m2!3d-2.956622!4d104.7446143!16s%2Fg%2F1ptzy26ch!19sChIJ92E3yix0Oy4R3VZwmrp-AP8?authuser=0&hl=id&rclk=1","RM Pagi Sore Basuki Rahmat","4,5","(3.129)","·","$$","Padang","·","Jl. Jend. Basuki Rachmat No.43","Buka","· Tutup pukul 22.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAH4k0fGiJB8gC_Sgta85r_FOoX6qjeCViUUarTxhfumRD0pxffDhpt6ye8v947VA786gVr2_QKVfuNPjarsWcCigMLg9H4D0SDY2M-Fs6q2BYlA9M18G69hQVJvW7JCi7vU16Ne=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Tempatnya nyaman,","https://www.google.com/searchviewer/42?cvd=CLw_EiYKJOICITIfEhgiFtLX29IPEAoML2cvMXB0enkyNmNoGAE6AwjwDQ%3D%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=2pz4aeT0MuiaseMPycTI-AI&ei=2pz4aeT0MuiaseMPycTI-AI&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","Restoran dengan ruang AC dan non-AC","makanan","cukup enak, harga yang kurang enak.""",""
"https://www.google.com/maps/place/Baropi+Grill+Palembang+Square+Mall/data=!4m7!3m6!1s0x2e3b75e78d842f7b:0xb20b266b75502025!8m2!3d-2.9765086!4d104.7416518!16s%2Fg%2F11byckx7my!19sChIJey-Ejed1Oy4RJSBQdWsmC7I?authuser=0&hl=id&rclk=1","Baropi Grill Palembang Square Mall","4,6","(1.132)","·","Rp 75–100 rb","Restoran","·","·","Buka","· Tutup pukul 22.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFtV4zn5tkQbQWqa3PCz0ywf7LYWIH-7wkcP4NOQq37MpZvjlHZIg__CgPtu3dDWydV0e1f4k1n9_i92iZ02T_rH4FLhAILapNk0WL8WoieX7OL9RThrZ2OM-kG1CfUHDrb8Z9oYA=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Rasa makananya enak dan menurut saya worth it dengan harga 100 ribuan.""","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFieWNreDdteRgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=2pz4aeT0MuiaseMPycTI-AI&ei=2pz4aeT0MuiaseMPycTI-AI&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","Jalan POM IX Komp. Palembang Square Mall R150-153 Kelurahan","","",""
"https://www.google.com/maps/place/KFC+Merdeka+Palembang/data=!4m7!3m6!1s0x2e3b75fc40000001:0xbf7ad3c9c1b83bd8!8m2!3d-2.9903354!4d104.7482604!16s%2Fg%2F12ml2y40n!19sChIJAQAAQPx1Oy4R2Du4wcnTer8?authuser=0&hl=id&rclk=1","KFC Merdeka Palembang","4,5","(3.319)","·","Rp 25–50 rb","Makanan Siap Saji","·","Jl. Merdeka No.38, RT.023/RW.08","Buka 24 jam","","https://lh3.googleusercontent.com/gps-cs-s/APNQkAECp790dZoOeGeIGIozcHaRWFrnwbToaW0aufs0xsxtQO4g_ONFU4qPHgf9alQqfmnZ5jh-RiqSPhYrsgYbEEJA-Mok261QnTmAnmNMAQmN93llIZqNjP6BpYoPmWCTigTU0QDY2w=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Ditaburin bumbu bubuk (BBQ, balado, jagung bakar,dll).""","https://www.google.com/searchviewer/42?cvd=CLw_EiYKJOICITIfEhgiFtLX29IPEAoML2cvMTJtbDJ5NDBuGAE6AwjwDQ%3D%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=2pz4aeT0MuiaseMPycTI-AI&ei=2pz4aeT0MuiaseMPycTI-AI&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","Franchise restoran ayam goreng","","",""
"https://www.google.com/maps/place/Richeese+Factory+Sudirman+Palembang/data=!4m7!3m6!1s0x2e3b75db9af63a8f:0x1bc1ea2811339e92!8m2!3d-2.9688036!4d104.7496654!16s%2Fg%2F11v0kskfrx!19sChIJjzr2mtt1Oy4Rkp4zESjqwRs?authuser=0&hl=id&rclk=1","Richeese Factory Sudirman Palembang","4,5","(820)","·","$$","Makanan Siap Saji","·","Jl. Jend. Sudirman No.2841, RT.013/RW.05","Buka 24 jam","","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFBVlQb-GPDZHuf2oi3TclDyWZdcsayFQefmxCpQor4NWJODZXiJZWx7ANjg8cZFW7hZaX1DoLSxx75-UVLfwJdBnb03xm9gLaWANvJ36AI_rcEWSGGYVmQ9kJPaCaAz4s5SK-l=w80-h142-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""tempat nya bersih dan nyaman banget,","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTF2MGtza2ZyeBgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=2pz4aeT0MuiaseMPycTI-AI&ei=2pz4aeT0MuiaseMPycTI-AI&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","","makanan","nya enak bget""",""
"https://www.google.com/maps/place/KFC+Palembang+Square/data=!4m7!3m6!1s0x2e3b75dd7ca5532f:0x839703842e965014!8m2!3d-2.9756077!4d104.7422552!16s%2Fg%2F12ml2yr14!19sChIJL1OlfN11Oy4RFFCWLoQDl4M?authuser=0&hl=id&rclk=1","KFC Palembang Square","4,5","(1.838)","·","Rp 25–50 rb","Makanan Siap Saji","·","Jl. Angkatan 45","Buka","· Tutup pukul 22.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGLfDGnnWycBo-CKU_bL8E7LkelIGn3weFhEBjz3roBBzed9QzVqb_wuY2Tb_hp0g35AfiSJgfoWTNUXVm31b7OwrGxXs1aszzB3mtT0KTJ-kEGjkF5pklOUYt_ueUn1D7eHqktQQ=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Tempatnya bersih.Pelayanan bagus.Banyak","","","","Franchise restoran ayam goreng","makanan","enak.""",""
"https://www.google.com/maps/place/Dapur+Saji/data=!4m7!3m6!1s0x2e3b77dbc78c5ebb:0xc8dc7d046b548fe5!8m2!3d-2.971892!4d104.7838878!16s%2Fg%2F11sk2s3d26!19sChIJu16Mx9t3Oy4R5Y9UawR93Mg?authuser=0&hl=id&rclk=1","Dapur Saji","4,8","(83)","·","Rp 1–25.000","Indonesia","·","Pasar Lemabang, Jl. R. E. Martadinata, Lorong Lemabang simpang 4 No.164","Tutup","· Buka Sel pukul 10.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAE9Esx2zXyCEO-sFB46dwzQKha4bnAzYBIiEIHcdLcVqjFgXOXqjmJyhf9OzF2OKJw48al1J8dv2V421OzvT76ndrBTdWHvSByajqTAZwU2EbIdgO6J-5A-L1uwG5JfDlNLRQOw=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Makanannya enak dan utk harganya pas untuk kantong mahasiswa 👍🏻""","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFzazJzM2QyNhgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=2pz4aeT0MuiaseMPycTI-AI&ei=2pz4aeT0MuiaseMPycTI-AI&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","","","",""
"https://www.google.com/maps/place/Almaz+Fried+Chicken+-+Palembang+Kambang+Iwak/data=!4m7!3m6!1s0x2e3b75000408e499:0x915c07992a9033e3!8m2!3d-2.9888355!4d104.7436703!16s%2Fg%2F11x8qff0gf!19sChIJmeQIBAB1Oy4R4zOQKpkHXJE?authuser=0&hl=id&rclk=1","Almaz Fried Chicken - Palembang Kambang Iwak","4,9","(1.858)","·","Rp 25–50 rb","Ayam","·","2P6V+FF7, Jl. Ki Ranggo Wirosantiko","Buka","· Tutup pukul 22.00","https://lh3.googleusercontent.com/gps-cs-s/APNQkAE6jKjyN3Gl1DoTJtPGOHAfUiLqD6vUAlO0ikVMGGOqTSsB_pYwGzY5xGw5pH9iqLsrRrnjSdAQedhXnAC6dq3Z31brImWxNilkrpDg7RroJx37yj91yM3-WH8NAubz7CVuoCkR=w163-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTF4OHFmZjBnZhgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=2pz4aeT0MuiaseMPycTI-AI&ei=2pz4aeT0MuiaseMPycTI-AI&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","","Makanan","nya enak, tempat nya nyaman, harga nya terjangkau""",""
"https://www.google.com/maps/place/McDonalds+HM+Ryacudu+Palembang/data=!4m7!3m6!1s0x2e3b9d5c349d6559:0xeb8f83dec3b7e427!8m2!3d-2.9979066!4d104.767113!16s%2Fg%2F11h49kvwqw!19sChIJWWWdNFydOy4RJ-S3w96Dj-s?authuser=0&hl=id&rclk=1","McDonalds HM Ryacudu Palembang","4,4","(2.621)","·","$$","Makanan Siap Saji","·","·","Buka 24 jam","","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFocwDQT1TfQBmC52PRHFI-EEy2Lj5e0cgzFG3Ectddt1bR_QZiHOH8F_SHX5moFx-GMSH60QNBPYDWsRqXydErqnkFPtqNUlJzD8mVLuh3Iwyg0Fu2Vhv49W4CYe6YnRbxca0C=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFoNDlrdndxdxgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=2pz4aeT0MuiaseMPycTI-AI&ei=2pz4aeT0MuiaseMPycTI-AI&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","2Q28+QVW, Jl. Mayjen HM Ryacudu","Makanan","sangat enak layanan juga",""
"https://www.google.com/maps/place/Se%27Indonesia+-+Ahmad+Yani+Palembang+%28Delivery+%26+Takeaway%29/data=!4m7!3m6!1s0x2e3b770011d642a9:0xec7a818b90b0a2b3!8m2!3d-2.9938285!4d104.779174!16s%2Fg%2F11yj6q0sr7!19sChIJqULWEQB3Oy4Rs6KwkIuBeuw?authuser=0&hl=id&rclk=1","Se'Indonesia - Ahmad Yani Palembang (Delivery & Takeaway)","4,6","(92)","·","Rp 25–50 rb","Makanan Siap Saji","·","Jl. Jenderal Ahmad Yani Jl. Jaya Indah No.60, RT.030/RW.007","Buka 24 jam","","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGX4D9CGgeJYLrqjUeAHVEd7G21_ZGxVV0Mo_1PSIMH8Bh-8hD7Ubk7AQN_Vaw3wTK3zdxDDJ4FHW_yO0rh_UYjqE4qWAxxNHXCzKo3sHCp3A6Qs2JmOWktohdNibe-aYM13Q9-VCV_ZOaj=w80-h142-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTF5ajZxMHNyNxgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=2pz4aeT0MuiaseMPycTI-AI&ei=2pz4aeT0MuiaseMPycTI-AI&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","","Makanan","wenakk tenan harga bersahabat, pegawainya gercep.""",""
