"hfpxzc href","qBF1Pd","MW4etd","UY7F9","AJB7ye","AJB7ye 2","W4Efsd","W4Efsd 2","W4Efsd 3","W4Efsd 4","FQ2IWe src","Jn12ke src","ah5Ghc","ah5Ghc 2","ah5Ghc 3","A1zNzb href","J8zHNe","bbPy1","doJOZc","W4Efsd 5","W4Efsd 6"
"","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","",""
"https://www.google.com/maps/place/Se%27Indonesia+-+Setiabudi+%28Dine-In+%26+Delivery%29/data=!4m7!3m6!1s0x2e69f5003b3c30a1:0xbf0cb64aef1f2a17!8m2!3d-6.2103867!4d106.8261511!16s%2Fg%2F11yytf_qjn!19sChIJoTA8OwD1aS4RFyof70q2DL8?authuser=0&hl=id&rclk=1","Se'Indonesia - Setiabudi (Dine-In & Delivery)","4,6","(174)","·","Rp 25–50 rb","Makanan Siap Saji","·","Jl. Taman Setia Budi I No.36, RT.3/RW.2","Buka 24 jam","https://lh3.googleusercontent.com/gps-cs-s/APNQkAH76o0CU0xDIW09XVEayoMfkHyvvXJ_vxMpXyS80e5Q4EBTgMwlZNo5F2r-YlI8LTUYV9gLxnlKeO1iB4pmvSz-JCy3cfO5fBCA3afDAfR712xBEhBQdj9B3nPMIhgIoaxTEb_JjX0W5c8=w92-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","Makanan","enak, best value for price""","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTF5eXRmX3FqbhgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=XKf4ad6DAveXseMPocyGuQ8&ei=XKf4ad6DAveXseMPocyGuQ8&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","","",""
"https://www.google.com/maps/place/Katsunyaka+Setiabudi/data=!4m7!3m6!1s0x2e68e7cca8c35793:0x1fed0705c382402c!8m2!3d-6.8787933!4d107.5987327!16s%2Fg%2F11rwy4y089!19sChIJk1fDqMznaC4RLECCwwUH7R8?authuser=0&hl=id&rclk=1","Katsunyaka Setiabudi","4,8","(2.031)","·","Rp 50–75 rb","Restoran","·","·","Segera tutup","https://lh3.googleusercontent.com/gps-cs-s/APNQkAH8o5LwVSJ4jOzTE9fRisoY9m2QSRqb3EfaZdRza4deY-kO3Uy3592hKeRA8vI-YhSstkLGVf82rn18xvuqfTpe4xwWPreBU3aRiISN_SdN3ZdTnzjRowur25pV_HT0HBg_3jA=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""makanannya enak harga murah service nya keren""","","","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFyd3k0eTA4ORgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=XKf4ad6DAveXseMPocyGuQ8&ei=XKf4ad6DAveXseMPocyGuQ8&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","","Jl. Dr. Setiabudi No.84","· 22.00 · Buka Sel pukul 10.00"
"https://www.google.com/maps/place/South+Kitchen+Setiabudi/data=!4m7!3m6!1s0x2e69f524573dacd7:0x4837ffe36cf83c6a!8m2!3d-6.2097892!4d106.828635!16s%2Fg%2F11qncln2wy!19sChIJ16w9VyT1aS4Rajz4bOP_N0g?authuser=0&hl=id&rclk=1","South Kitchen Setiabudi","4,6","(1.183)","·","Rp 50–75 rb","Restoran","·","Jl. Taman Setia Budi II No.54 3, RT.2/RW.1","Segera tutup","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGQZHJfjy2coSmgOMgVHuyUKo8VwBGHM95dTQn9chsXHXAMQyPMzFGXTPv-wdyBzgg6aesFlif5YHSD5sWDOP8BwBS6HePIUADwoRKQB9K5nZqjX54WDJaN9xscaEbrUFwcPs1C=w163-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Makanannya comfy dan affordable, tempatnya enak untuk wfc""","","","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFxbmNsbjJ3eRgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=XKf4ad6DAveXseMPocyGuQ8&ei=XKf4ad6DAveXseMPocyGuQ8&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","","","· 22.00 · Buka Sel pukul 10.00"
"https://www.google.com/maps/place/Food+Setiabudi/data=!4m7!3m6!1s0x2e68e78685bb240b:0x50e5e3a50aa51b78!8m2!3d-6.859117!4d107.5953012!16s%2Fg%2F11h6np0gbx!19sChIJCyS7hYbnaC4ReBulCqXj5VA?authuser=0&hl=id&rclk=1","Food Setiabudi","4,7","(45)","·","Rp 1–25.000","Restoran","·","Jl. Dr. Setiabudi","Buka","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFGa8psGURYrsM6rMqJnKTp6jdicarSNVWHwDz-4L7rARkL4E9rlojnpl6PtfrQz2FqpZLCPrEwUKNXqDNcnybags2jGbmHgMjAwwpJGuhU9m_xCPM32_GAXHrw1j30CVWgmfCbwQ=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Beli capcay goreng spesial dan mie goreng biasa buat lauk di rumah.""","","","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFoNm5wMGdieBgAOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=XKf4ad6DAveXseMPocyGuQ8&ei=XKf4ad6DAveXseMPocyGuQ8&fo_s=OA&opi=79508299&ebb=1&cs=0&foub=mcpp","Pesan online","","","","· Tutup pukul 00.00"
"https://www.google.com/maps/place/KFC+Setiabudi+Bandung/data=!4m7!3m6!1s0x2e68e695bfd0fc7d:0x4800b72ed6349edf!8m2!3d-6.868261!4d107.5934109!16s%2Fg%2F1tf2hvpz!19sChIJffzQv5XmaC4R35401i63AEg?authuser=0&hl=id&rclk=1","KFC Setiabudi Bandung","4,4","(6.251)","·","Rp 25–50 rb","Makanan Siap Saji","·","Jl. Dr. Setiabudi No.169","Segera tutup","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGRPTb-9MKScVJTTesM6bcx7e8FMOUtobj4Isr8IMSIa-sEAIC1vRTGpV1anrVltezCAMvh5ldI7I8B4-RE5Ul8LNxc8wfQOFV3yG_cDlhSDJbMk8S0X9UxPABjjboV3-CbXLvZ=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","Makanan","enak, ayam besar, sebanding dengan harga.""","https://www.google.com/searchviewer/42?cvd=CLw_EiUKI-ICIDIeEhciFdLX29IPDwoLL2cvMXRmMmh2cHoYADoDCPAN&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=XKf4ad6DAveXseMPocyGuQ8&ei=XKf4ad6DAveXseMPocyGuQ8&fo_s=OA&opi=79508299&ebb=1&cs=0&foub=mcpp","Pesan online","","","Franchise restoran ayam goreng","· 22.00 · Buka Sel pukul 09.00"
"https://www.google.com/maps/place/Ma%27+Uneh+Setiabudi/data=!4m7!3m6!1s0x2e68e695b821f449:0xef9d7fa201e6352f!8m2!3d-6.8688589!4d107.5933697!16s%2Fg%2F1tfjbz7p!19sChIJSfQhuJXmaC4RLzXmAaJ_ne8?authuser=0&hl=id&rclk=1","Ma' Uneh Setiabudi","4,1","(2.510)","·","$$","Sunda","·","Jl. Dr. Setiabudi No.159","Buka","https://lh3.googleusercontent.com/gps-cs-s/APNQkAG4KZdy6QpD8XiS7jY6zovLK58p1pN5IFCxE4LSt8y7B0xAIDrIq6ggsVsOWsCfwhp4U9lAiE67LPt3v1reDPzEnow9VYxkZwjyR4HVbvcoBbVqZ1ETpCshrkUWv03M-rETndJz=w189-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""","Makanan","nya enak, untuk harga relatif, menu nya banyak""","","","","","","· Tutup pukul 23.00"
"https://www.google.com/maps/place/McDonald%27s+Setiabudi+Bandung/data=!4m7!3m6!1s0x2e68e731606f3cc7:0xbffa234123b4e360!8m2!3d-6.8785593!4d107.5982304!16s%2Fg%2F11r8hc3l6!19sChIJxzxvYDHnaC4RYOO0I0Ej-r8?authuser=0&hl=id&rclk=1","McDonald's Setiabudi Bandung","4,5","(6.347)","·","Rp 25–50 rb","Makanan Siap Saji","·","·","Buka 24 jam","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHFRD6qxLDgCKmXzsDCQ_bprYPRapcU8uyAkfHx5Wr948ikD4q7Y9hCiWc64GoRxKbnhXBkV_KPSDYeRdADBTItkjAHa22neMzDhW7LzY7CGPvAd8jyLKvTcxMPwTjVnRD92LF-bA=w92-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Kentang goreng, nuget, spaghetty, dan ayam gorengnya juga lezat.""","","","https://www.google.com/searchviewer/42?cvd=CLw_EiYKJOICITIfEhgiFtLX29IPEAoML2cvMTFyOGhjM2w2GAE6AwjwDQ%3D%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=XKf4ad6DAveXseMPocyGuQ8&ei=XKf4ad6DAveXseMPocyGuQ8&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","","Jl. Dr. Setiabudi No.86-88",""
"https://www.google.com/maps/place/Wingstop+-+Setiabudi+One/data=!4m7!3m6!1s0x2e69f40872f5fc3b:0x99c04891aaccad35!8m2!3d-6.2156637!4d106.8301942!16s%2Fg%2F11f03nnvg3!19sChIJO_z1cgj0aS4RNa3MqpFIwJk?authuser=0&hl=id&rclk=1","Wingstop - Setiabudi One","4,2","(380)","·","Rp 25–50 rb","Sayap Ayam","·","Setiabudi One, Jl. H. R. Rasuna Said No.Kav.62 Lantai Dasar, RT.18/RW.2","Segera tutup","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGzh452LcAAlgFxGxwDIPVzcs3YNi7zpmFgJMPvUOZpsxD0OqeJ-szOKsWH4cRmb_jWM7F_fpxUwRhhegJlonN2Trn4sGErhrwUeiQfdoL6cpHJr11o7zdomTQgWtDU5HBHjzWZ=w80-h142-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Makanannya enak semua harganya juga standar, tempatnya bersih dan nyaman.""","","","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFmMDNubnZnMxgAOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=XKf4ad6DAveXseMPocyGuQ8&ei=XKf4ad6DAveXseMPocyGuQ8&fo_s=OA&opi=79508299&ebb=1&cs=0&foub=mcpp","Pesan online","","","","· 22.00 · Buka Sel pukul 10.00"
"https://www.google.com/maps/place/Gyu-Kaku+Setiabudi+One/data=!4m7!3m6!1s0x2e69f5e4f39d3b15:0x7082d5cc564ee6a6!8m2!3d-6.2152394!4d106.8300557!16s%2Fg%2F11h08rhklm!19sChIJFTud8-T1aS4RpuZOVszVgnA?authuser=0&hl=id&rclk=1","Gyu-Kaku Setiabudi One","4,7","(888)","·","Rp 250.000+","Yakiniku","·","·","Segera tutup","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHRMZ_vFGNuqdXj4zsS96kWuZMnusiTbaIV5lSc-2sGGLdizbTvvppgQUAFsbSGj-xsH_2m4XKH4mS4pbjZkUxjByS-ehLSWjbhe2tl1I-w0vskTsvoBseOIV6smqmyWEg4lYEkNw=w80-h106-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Menu rekomendasi adalah Unagi nya, buat saya itu enak pake banget!!!""","","","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFoMDhyaGtsbRgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=XKf4ad6DAveXseMPocyGuQ8&ei=XKf4ad6DAveXseMPocyGuQ8&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","","Setiabudi One, Jl. H. R. Rasuna Said No.18 Ground Floor, Unit. # B 106, RT.18/RW.2","· 22.00 · Buka Sel pukul 10.00"
"https://www.google.com/maps/place/KFC+%E2%80%A2+Setiabudi+Sukawangi/data=!4m7!3m6!1s0x2e68e7af5a1f2aa7:0x5b5a028ef1d52678!8m2!3d-6.8784674!4d107.5976642!16s%2Fg%2F11jvnyg77_!19sChIJpyofWq_naC4ReCbV8Y4CWls?authuser=0&hl=id&rclk=1","KFC • Setiabudi Sukawangi","4,6","(1.772)","·","Rp 25–50 rb","Makanan Siap Saji","·","·","Buka 24 jam","https://lh3.googleusercontent.com/gps-cs-s/APNQkAELRsi2M0PQL_OMbdJGouQRfReDn63gE-rFpgZnvw-J6heGyIvTUR-kTEren4737BfvXHdmnHR6Ugu2Nt2dmT6puU7RokixrDXM-CEudn3CD2-WO-nL38B5pCZLqyO2HXDVfos=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Tempat enak,","makanan","enak,yang penting pelayanannya mantap!""","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFqdm55Zzc3XxgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=XKf4ad6DAveXseMPocyGuQ8&ei=XKf4ad6DAveXseMPocyGuQ8&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","","Jl. Sukawangi No.1",""
"https://www.google.com/maps/place/The+People%27s+Cafe+Setiabudi+One/data=!4m7!3m6!1s0x2e69f40879fd66c1:0xe6dfcfed44244aa7!8m2!3d-6.2146504!4d106.8303234!16s%2Fg%2F11cm02jp67!19sChIJwWb9eQj0aS4Rp0okRO3P3-Y?authuser=0&hl=id&rclk=1","The People's Cafe Setiabudi One","4,7","(1.266)","·","Rp 50–75 rb","Restoran","·","Setiabudi One, Ground Floor Jl. H. R. Rasuna Said.Kav X-6 No. 8, RT.18/RW.2","Segera tutup","https://lh3.googleusercontent.com/gps-cs-s/APNQkAFLsllKD0WQMEnEsHI0t5wi3nQIo5a-2CXsPf3A2OULxgA7EHgBsoPIWaakIBsE-iB96W7_CYqn6wEMjYmTverHMSzipk6-A8P4wnSuwOrwhKrcCgNF6trfkXi1Hz3lY0Aw7BlR=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Makanannya enak-enak, tempatnya nyaman & staffnya juga fast response""","","","https://www.google.com/searchviewer/42?cvd=CLw_EicKJeICIjIgEhkiF9LX29IPEQoNL2cvMTFjbTAyanA2NxgBOgMI8A0%3D&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=XKf4ad6DAveXseMPocyGuQ8&ei=XKf4ad6DAveXseMPocyGuQ8&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","","","· 22.00 · Buka Sel pukul 09.00"
"https://www.google.com/maps/place/Setiabudi+One/data=!4m7!3m6!1s0x2e69f3f70540f90b:0xc88fe50dadb6c64!8m2!3d-6.2151499!4d106.8298937!16s%2Fg%2F11c5btjzbt!19sChIJC_lABffzaS4RZGzb2lD-iAw?authuser=0&hl=id&rclk=1","Setiabudi One","4,6","(9.155)","·","$$","Pusat Perbelanjaan","·","·","Segera tutup","https://lh3.googleusercontent.com/gps-cs-s/APNQkAGkhrwh6PwT5nXBA8jgq-8tWKOlPKaz3pgcLIy0uf5r_rwVL4VSABgCrt4NDgBrc6skvXAVj3JSjOejuMOWoa6Kty9El-FGy3jB0Gm_6_KBKJKueIXNAfIzkqqtZaGHjj72jP0=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""1 makanannya enak, harga affordable, suasana nyaman""","","","","","","","Jl. H. R. Rasuna Said Blok Kav No.62, RT.18/RW.2","· 22.00 · Buka Sel pukul 10.00"
"https://www.google.com/maps/place/Warung+MJS/data=!4m7!3m6!1s0x2e69f4044e5995a7:0x4c9df8f41001aadb!8m2!3d-6.2087667!4d106.8267063!16s%2Fg%2F1td80pg8!19sChIJp5VZTgT0aS4R26oBEPT4nUw?authuser=0&hl=id&rclk=1","Warung MJS","4,5","(6.296)","·","$$","Jawa","·","·","Segera tutup","https://lh3.googleusercontent.com/gps-cs-s/APNQkAHdLaPiyV6RduPtATdKQJ8C_KkDt0_VoN8ajjEB3-isq-UAXV-tXRoONcqr6eP3GTDtSe_UaT0XSTnwbMQHBCXQQYlL59BQR6fHOeCb4Hh4kH9OWexJ6TEXpYAlCOCA4qtAgtaYgg=w137-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Harga makanannya reasonable dgn kualitas rasa yg enak banget.""","","","https://www.google.com/searchviewer/42?cvd=CLw_EiUKI-ICIDIeEhciFdLX29IPDwoLL2cvMXRkODBwZzgYAToDCPAN&hl=id-ID&gl=id&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&utm_source=tactile&gei=XKf4ad6DAveXseMPocyGuQ8&ei=XKf4ad6DAveXseMPocyGuQ8&fo_s=OA&opi=79508299&orderType=1&ebb=1&cs=0&foub=mcpp","Pesan online","","","Jl. Setia Budi Tengah No.11, RT.1/RW.1","· 21.30 · Buka Sel pukul 11.00"
"https://www.google.com/maps/place/Waroeng+Setiabudhi/data=!4m7!3m6!1s0x2e68e695928db793:0xd677bf48df121009!8m2!3d-6.8677857!4d107.5935721!16s%2Fg%2F11b5zst3_0!19sChIJk7eNkpXmaC4RCRAS30i_d9Y?authuser=0&hl=id&rclk=1","Waroeng Setiabudhi","4,5","(9.428)","·","Rp 25–50 rb","Bakso","·","·","Buka","https://lh3.googleusercontent.com/gps-cs-s/APNQkAG2rLYKKbFB5g69gqW1ZCr5cpxr2BLwDwIMRKdhNGt4aSJ0YgXo1lC_5pXXvazX4fSbzDIYcl41FxKrDXrXi8HKZ02MnTSc7dIDNtrB5T5z1MHJd9IZIqaYNeAt3L9yaGNz8UrJ=w122-h92-k-no","https://ssl.gstatic.com/local/servicebusiness/default_user.png","""Makanannya enak, penyajian surabi lumayan","cepat","yg lama baksonya""","","","","","Jl. Dr. Setiabudi No.175","· Tutup pukul 23.00"
